"scientificName"
"Hesperapis arida Michener, 1936"
"Chelostoma bernardinum Michener, 1938"
"Dianthidium parvum (Cresson, 1878)"
"Megachile centuncularis (Linnaeus, 1758)"
"Dianthidium pudicum consimile (Ashmead, 1896)"
"Anthophora petrophila Cockerell, 1905"
"Anthidium mormonum Cresson, 1878"
"Melissodes semilupina Cockerell, 1905"
"Anthophora parkeri Orr, 2018"
"Peponapis pruinosa (Say, 1837)"
"Centris cockerelli Fox, 1899"
"Anthophora striata Orr, 2018"
"Diadasia tuberculifrons Timberlake, 1939"
"Anthophora erythrothorax Michener, 1936"
"Dufourea holocyanea (Cockerell, 1925)"
"Ashmeadiella prosopidis (Cockerell, 1897)"
"Perdita scotti Timberlake, 1958"
"Perdita luteola Cockerell, 1894"
"Melissodes plumosa LaBerge, 1961"
"Melissodes thelypodii thelypodii"
"Ashmeadiella femorata (Michener, 1936)"
"Conanthalictus wilmattae Cockerell, 1936"
"Hoplitis deserticola (Timberlake & Michener, 1950)"
"Andrena nigrae Robertson, 1905"
"Centris rhodopus Cockerell, 1897"
"Lasioglossum kunzei (Cockerell, 1898)"
"Perdita dentata Timberlake, 1964"
"Perdita thermophila Timberlake, 1962"
"Triepeolus heterurus (Cockerell & Sandhouse, 1924)"
"Perdita argemones Timberlake, 1956"
"Sphecodes minor Robertson, 1898"
"Hoplitis louisae (Cockerell, 1934)"
"Osmia atrocyanea Cockerell, 1897"
"Perdita subfasciata Cockerell, 1897"
"Perdita mohavensis Timberlake, 1956"
"Megachile sidalceae Cockerell, 1897"
"Osmia californica Cresson, 1864"
"Dieunomia nevadensis angelesia (Cockerell, 1910)"
"Andrena vulpicolor Cockerell, 1897"
"Trachusa larreae (Cockerell, 1897)"
"Coelioxys menthae Cockerell, 1897"
"Perdita lepidosparti Timberlake, 1958"
"Megachile concinna Smith, 1879"
"Megachile fucata Mitchell, 1934"
"Anthidium formosum Cresson, 1878"
"Dufourea virgata (Cockerell, 1898)"
"Anthophorula eriogoni (Timberlake, 1947)"
"Melissodes hurdi LaBerge, 1961"
"Calliopsis zonalis Cresson, 1879"
"Coelioxys octodentata Say, 1824"
"Melissodes bimatris LaBerge, 1961"
"Perdita genalis panamintensis Timberlake, 1964"
"Lasioglossum anhypops McGinley, 1986"
"Xylocopa tabaniformis androleuca Michener, 1940"
"Perdita claypolei Cockerell, 1901"
"Conanthalictus nigricans Timberlake, 1961"
"Calliopsis puellae (Cockerell, 1933)"
"Nomia tetrazonata tetrazonata"
"Nomada grayi Cockerell, 1903"
"Calliopsis phaceliae (Timberlake, 1952)"
"Perdita arcuata Fox, 1893"
"Perdita inornata Timberlake, 1962"
"Megachile frugalis Cresson, 1872"
"Diadasia consociata Timberlake, 1939"
"Anthophora timberlakei Orr, 2018"
"Megachile latimanus Say, 1823"
"Colletes consors pascoensis Cockerell, 1898"
"Colletes covilleae Timberlake, 1951"
"Colletes fulgidus fulgidus"
"Colletes hyalinus oregonensis Timberlake, 1951"
"Hylaeus mesillae cressonii Cockerell, 1907"
"Andrena ceanothifloris ceanothifloris"
"Andrena milwaukeensis Graenicher, 1903"
"Eucera quadricincta (Timberlake, 1969)"
"Perdita eriastri Timberlake, 1964"
"Andrena semipunctata Cockerell, 1902"
"Calliopsis pugionis Cockerell, 1925"
